# Divider icon assignments. One row per section-divider slide, in deck order.
#
# `n` is the 1-based divider index within the deck, counting only section
# dividers -- the deck title slide is not one. Keying on the index rather than
# on the heading text keeps this stable when a section gets reworded, and
# tools/wire-section-art.py checks the recorded title against the file, so a
# drift is an error rather than a silently misplaced icon.
#
# source
#   catalog  already in icons/ and unused elsewhere. Wired.
#   pilot    already wired on the C/07/a pilot, kept as-is.
#   new      one icon named in `lordicon`; export it and save it as `icon`.json.
#   choose   more than one candidate in `lordicon`, pipe-separated, because no
#            single icon in the library is clearly right. Look at them and pick.
#
# `state` is the Lordicon animation state to play. A raw file carries several:
# `in-reveal` starts blank and draws the icon in, which is what a section divider
# wants, and `default:hover-pinch` starts with the artwork already there. Icons
# with no states, which is every legacy file here, ignore the attribute and play
# their single animation, so `in-reveal` is safe to set on all of them.
#
# One row differs. `parabola` (square-root) renders a bare radical with NO accent
# in its default and in-reveal states; `morph-squared` is the state that both
# brings the accent back and draws the squared symbol the section is about.
#
# `lordicon` is the icon's NAME in the Wired / Outline family. That is what you
# search for, and the only field you need to find and export one:
#
#     lordicon.com/icons/wired/outline?search=<name>
#
# `key` is the icon's CDN code. It is provenance only: these decks use the `lif`
# shortcode, which reads a file out of icons/, so no code is ever fetched at
# render time. It is recorded because icon-map.json is keyed on it. An earlier
# version of this header claimed a code could be opened at
# lordicon.com/icon/<key>/wired/outline; that URL 404s and never worked.
#
# EXPORTING: set secondary to #2a76dd in the customizer BEFORE exporting, or the
# icon bakes in Lordicon's green with no way to recolour it at runtime. See
# ICONS.md, where that was learned the expensive way. Save into icons/ under the
# `icon` name, add the code to icon-map.json, then run
# tools/wire-section-art.py.
#
# Reserved and deliberately not reused: map.json, the roadmap slide's recurring
# motif across six decks, and the 25 other icons already carrying meaning on a
# content slide.
#
# deck	n	section	icon	state	source	lordicon	key	note
A/01/b	1	R and RStudio	car	in-reveal	catalog	-	-	The deck's own metaphor: computer as engine, RStudio as dashboard, package as add-on. Replaces browser-code, which said IDE but not this deck's IDE.
A/01/b	2	Console	terminal	in-reveal	wired	browser-terminal	ailnzwyn	A prompt waiting for one line, not a whole editor.
A/01/b	3	Scripts	edit_doc	in-reveal	catalog	-	-	Document with a pencil: a file you write and keep.
A/02/a	1	Projects	folder	hover-adding-files	wired	folder	tsrgicte	The self-contained project directory. Its in-reveal and default states draw a closed folder with no accent; hover-adding-files is the one that colours, and files going into a folder says Projects better than a shut one.
A/02/a	2	Quarto	render_doc	in-reveal	wired	file-text	hmpomorl	Source becoming a finished document. PROPOSED: parchment-writing (axmewqez).
A/02/a	3	Markdown	text_format	in-reveal	wired	align-text-left	nqygtxpy	Plain text acquiring structure. PROPOSED: inkwell (vzpsvgmn).
A/02/b	1	Assignment	assignment	in-reveal	wired	phone-book	jopgqciw	A book of name-to-number lookups is what assignment does, and the slide's example stores a phone number under a name.
A/02/b	2	Naming	business_card	in-reveal	catalog	-	-	Freed when Unit A retired its slide icons. This is the icon that opened the Naming section as a content slide, so it was already the author's pick for this exact concept.
A/02/b	3	Functions	gears	in-reveal	wired	cog-double	xnptalrm	Input in, work happens, output out.
A/02/b	4	Vectors	old_train	in-reveal	catalog	-	-	The slide says "imagine a train pulling multiple cars" and shows a locomotive. Replaces layers, which read as depth rather than as a sequence.
A/03/a	1	Strings	strings	in-reveal	wired	text-box	zzcpieew	Replaces `quotation`, which renders monochrome. A text object with handles, and it recolours.
A/03/a	2	Factors	factors	in-reveal	wired	bullet-list	jkavsxeh	A fixed, ordered set of levels.
A/03/a	3	Packages	install	in-reveal	wired	box-plus	okzvfdcb	A package with a plus on it. Replaces inbox-download, which read as a generic download rather than as adding a package.
